Comments,Sentiment,Aspect
ለሶሻል ሚዲያ ተጠቃሚው ቁጥር መጨመር የእናተ አሰተዋፅኦ በተለይ የጥቅል አገልግሎቱን ዋጋ ብትቀንሱ በጣም ይጨምራል,Positive,Price
ጥሩ  በርቱ አሁንም ግን ከሌሎች ሀገር ጋር ሲነፃፀር ዋጋው ወደድ ይላል ስለዚህ ዋጋውን ቀነስ ኔትወርኩን ጨመር አድርጉት,Positive,Price
በጣም የሚደነቅ,Positive,Service
ኢቴዎች እባካችሁ አሁን የምጠቀምበት ሲም በየገዛሁት ,Neutral,Service
እባክዎን ስርዓትዎን በድጋሚ  ላይ ማስጀመር አሁን አይሰራም እባክዎ ይመልከቱ,Neutral,Service
ሊንኩን አይከፍትም ምንድ የስራ ማስታወቂያዎቹን በፅሁፍ ብትዘረዝራቸው እናመሰግናለን,Neutral,Service
በስሜ ለሰው የወጣና ቁጥሩ የማላስታውሰውን ሲም ካርድ ማን እየተጠቀመበት እንደሆነ አልያም በድጋሜ ለግሌ ለመጠቀም ምን ማድረግ አለብኝ,Neutral,Service
በጣም ይገርማል ኢትዮ ቴሌኮሞች ቀለዱብን እኮ በገንዘባችን ለምንጠቀመው,Negative,Price
ዳታ ፓኬጅ ስንሞላ እየተቸገርን እባካችሁ ይስተካከል,Negative,Quality
ቆይ ግን ለምን ጎንደር ላይ  ኔትወርክ አገልግሎት አንጠቀምም ,Negative,Accessability 
በልታወቀ መልኩ መጅራት እየመታችሁን ጥያቂ የለለውምት  ሠሜም አካል የለም,Negative,Price
ምን ያህል ዃላ ቀር እንደነበርን ማሳያ ነዉ እንጅ እንደትልቅ ስኬት የምነገር አይደለም,Negative,Service
ብር ጭጭ እልም ከማረግ ውጪ ጥቅም የለም,Negative,Price
ለማን አቤት ይባላል አሁን አሁን እንደዜጋ መብትን በአግባቡ ስትጠይቅ የልማት ጥያቄ ስትጠይቅ የመሰረታዊ ፍላጎት ስትጠይቅፀረ ልማት ፀረ  ሠላም ፀረመንግስት አፍራሽ ጨለምተኛ አሊያ ደግሞ ሌላ ስም ይሰጥህና ከችግሩ ቀማሽ ጀምሮ በጅምላ ይፈረድብሃልአሊያ ደግሞ ትወገዛለህ,Negative,Service
የእናንተን ስልክ ቀፎ ከመግዛት እንኳን ስልክ አለመያዝ ይሻላል ይልቅ ኔትወርኩ ላይ አተኩሩ የቀፎው ንግድ ይቅርባችሁ ትዝብት ላይ ጥሏችኋል,Negative,Quality
ኢትዮ ቴሌኮም ሰመራ ቅርንጫፍ አንድም ስልክ ማግኘት አልቻልንም ከናንተው ሰራተኛ ባገኘሁት መረጃ መሠረት የናንተው ሰዎች አውጥተው ጨርሰውታል በዘመድ  ካገኘህም ተብያለሁ,Negative,Accessability 
እስፔርና መለዋወጫ የሌላቸው ስልኮችና ታቦች እየሽጣቹልን የኛንም ገንዘብና ግዜ የአገሪቷንም ምንዛሪ ታባክናላቹ አንድም ከቴሌ የምንገዛቸው ስልኮች እጋዊ ወኪል የሌላቸውና የሰርቢስ ሴንተር የሌላቸው ናቸው,Negative,Accessability 
እያላቹህ ዝረፉን እንኳን ዘንቦብሽ ድሮም ጤዛ ነሽ አለ የሃገሬ ሰው  አሁንስ ካርድ መሙላት አስጠላኝ ,Negative,Price
ምን ዋጋ አለው ቴሌ ብር መጠቀም አልቻልንም መልቲፕል ፒን ተጠቀማችሁ ብሎ አካውንት ይዘጋል በመደወል አድርጉ ይላል ስልኩ አይሰራም የማይሰራ ሲስተም ፈጥራችሁ ገንዘብ መልቀም ብቻ አሰራራችሁን ፈትሹ,Negative,Service
ኧረ መጀመሪያ እንደወጉ አአ በደንብ ይስራ እስቲ በባዶ መዶለት ይደብራልአዲስአበባ ኮንደሚኒየም በሙሉ ኢንተርኔት ይቅርና የስልክ መነጋገሪያ ኔትዎርክ የለም ኧረ ተው ግን በዚች ምስኪን ሀገር አትቀልዱብን እንዴ አሁንስ በዛ,Negative,Service
ለ ወር ጅማ ላይ ለህብረተሰቡ የቀረበው ቅናሽ ስልክ በ ቀን አለቀ ተባልን ለማን አቤት ይባላል,Negative,Accessability 
ስላም ኢትዬ ቴሌኮም ሁልግዜ ቀደማችሁ የምትስሩ እናንተ የፍለጋችሁትን አካባቢ  ለምን ከቅርብ ከመጀመረ ከሩቅ አትጅምሩም ለህዝብ ሲባል እንጅ ለእናንት ቅርብ ስለሆነ ብቻ መሆን የለበትም ስሜን ምዕራብ ሪጅን አይታችሁት አታውቁም ታሳዝናላችሁ አማራ ክልል በጌ ምድር አልስራችሁትም የፌስቡክ እና የታይታ ስራ ለኢትዬጵያ አይጠቅማትም ሁሉንም የኢትዬጵያን ክልሎች በእኩል አይን እዩት,Negative,Accessability 
ኧረ ተው በጣም ደካማ የሆነ ማርኬት ስትራተጂ  እየተጠቀማቹ ያላችሁት እናንተ በ ቴሌብር ግብይት ከመፈጸማችሁ ውጪ ሌላው ህበረተሰብ በቴሌብር እምብዛም አይገበያይም አይጠቀምም ሲስተሙ አዲስ ስለሆነ ብዙ ሰው ስላላወቀው የሚል መልስ በጭራሽ ውሃ አያነሳምምክንያቱም እኔ እራሴ ለመጠቀም በጣም ሞከርኩኝ ሲስተሙም ደግሞ አዛ በርግጥ እንደመጀመርያ አዛ  ስል አጋንዬው ሊሆን ይችላል ግን በጣም መሰራት እንዳለበት ,Negative,Service
የማታፍሩ አሳፋሪዎች ደሞ ከቻላችሁ ይሄን መልክት በስልኬ እይዳትልኩልኝ ለመሆኑ ኢትዮጵያ ውስጥ ስንት ፐርሰንቱ  ኔትዎርክ ማግኘት የቻለ እንደ ኤሊ ሰርታችሁ እንደ አቦሸማኔ አትንደላቀቁ,Negative,Service
ጥሩ ይዛችኋል ስለአጠቃቀሙ ሰው በቀላሉ በሚረዳው መልኩ በየቋንቋው ከሶስት ደቂቃ ባልበለጠ ቪድዮ ብታዘጋጁና በየሚድያው ብታቀርቡ የበለጠ ጥሩ ይመስለኛል ሶፍትዌሩ ትንሽ ችግር አለበት,Negative,Quality
የማይረባ መስሪያ ቤት ዋይፋይ ከተቋረጠብኝ ሁለት ሳምንት ሞልቷል ግን እስካሁን ምንም የተደረገልኝ ነገር የለም ወሩ ሲመጣ ግን ታስከፍሉኛላችሁ በነፃ,Negative,Service
አር በጣም ጥሩ ሃሳብ  እስካሁን የት ነበራችሁ እስካሁን ዘመንን ብላቺሁ ያዘመናቺሁትን ሀሳብ ከ ሀገር ልጂ ላለመቀበል  ወይስ ሌላ ግዳጂ ነበርባቺሁ ሁሉንም የማዘመን ሀሳባቺሁን ለመተግበር ዘገያችሁ  በጣም,Negative,Service
 ከባንክ በምን ይለያል ገንዘብ ለማስገባት በየመንደሩ የቴሌ ወኪልን ያያቹቹ ልጆች እባካቹ አያልን ስንዞር  ከባንኮቹ ጋር ለመስራት ሞክሩ,Negative,Service
በጣም አቸጋሪ  አፕልከሽን አወሪደናል ግን ስልክ ቁጥሪ ስናስገባ ትክክል አይደለም  የምለው እስክ ትክክለኛ ማብራሪያ ብትልኩልን,Negative,Quality
እንዳሰብ አይደለም መቼስ ባንክ እያለ ገንዘብ ቁጠባ ብለን ገና ኤጀንት ፍለጋ አንዞርም ቤት ተቀምጠን ገንዘብ ማስገባት ምንችልበትን ዘዴ አመቻቹ,Negative,Accessability 
የማይሠራ ሊንክ እየለጠፋችሁ ሠው አታሥቸግሩ መጀመሪያ ሰርቨራችሁን ማኔጅ አድርጉ,Negative,Service
አፑ አይወርድምለምንድ ድርቅና የሚታበዙ ስታስጠሉ ኤጭ,Negative,Service
እባካችሁ እኔም ካርድ ለመሙላት ተቸግሬአለሁ ብሬ ሳላዉቅ እየተቆረጠብኝ ነዉ መላ በሉኝ,Negative,Price
በጤና ይቆዩ የኢንተርኔት ጥቅል እቢ አለኝ   ይላልደጋግሜ  ደውዬ መፍትሔ ካለው ብዬ ብጠይቅም ለሚመለከተው ክፍል አስተላልፈንልሀል ይሉኛል ግን ለውጥ የለውም,Negative,Service
 የኢንተርኔት ፓኬጅ ገዝተን በደቂቃ ውስጥ አለቀ የሚል መልክት ይደርሳል አንድ በሉት አይመጥንም,Negative,Price
ማታ ማታ ባኬጅ ለመግዛት በጣም በጣም  የሚያስቸግረው እንዲያውም የለም ማለት ሁላ ይቻላል በተለይ እኔ ያለሁበት መቂ ከተማ ኔትወርኩ አማራሪ  እና ቢስተካከሉ ባይ ነኝ,Negative,Service
ኧረ ኢትዮ ቴሌኮም ሰሞኑን ባህር ዳር ላይ የቤት ብሮድባንዶች ምንም እየሰሩልን አይደለም ስናስመዘግብም ተራ ሲደርሰን ባለሙያወች ደውለው የሁሉም  ችግሩ ይሉናል መፍትሄ ግን የለም,Negative,Service
በስልኬ ላይ ብጭም አልሰራም ብሎኛል,Negative,Service
 አይሰራም በጣም አሰልቺ  ኧረ አስተካክሉት,Negative,Service
የገዛ ጥቅል አገልግሎት ሳያለቅ ያለን ቀሪ ሂሳብ እየተቆረጠብን ,Negative,Price
 ከትላንት ጀምሮ አይሰራም እባካችሁ,Negative,Service
በሶማሌ ክልል ሁሉም  ጂ አገልግሎቶች አይገኙም የሞባይል ብሮድባንድ ጥራት በጣም ዝቅተኛ እና ከአንድ ወር በታች ያልዘለቀ  ,Negative,Accessability 
የዋይፋይ መስመር ተጠቃሚ ብንሆንም ፍጥነቱ ግን ቀርፋፋ ከዚህ  ደውለን ብናሳውቅም አልተስተካከለም,Negative,Quality
በእውነት በተለይ   ክፍል ከፍተኛ እንግልት እያደረሱብን  የሚመለከተው አካል ካለ እባካችሁ ህዝብ አታሠቃዩ ፈጣሪን ፍሩ በወገናቹህ አትቀልዱ ,Negative,Service
ደጋግሜ ሞከርኩ ግን አይሰራም,Negative,Service
በጤና ይቆዩ የኢንተርኔት ጥቅል አይሰራም,Negative,Service
እባካቹ ያላግባብ ባላንስ እየተቆረጠብኝ ,Negative,Price
ከትላንት ጀምር    አይሰራም,Negative,Service
አገልግሎቱ ለጊዜው በስራ ላይ አልዋለም  የሚለው አብዛኛዎቹን አገልግሎት ስንጠይቅ,Negative,Service
ቀፎየ ሲም ካርድ አላነብ አለ ,Negative,Service
ሌቦች,Negative,Service
እባካችሁ ስልኬ እያስቸገርኝ  ብር እየቆርጠብኝ  እና የሚቆርጥብኝን ነገር እባካችሁ ዝጉልኝ ውድ ኢትዮ ቴሌኮም,Negative,Price
ኢትዮ ቴሌኮም የምትወስድበት እርምጃ ምንድ ?በማህበራዊ ሚድያ ሕዝብን ለማጭበርበር የወጣ,Negative,Service
ኢትዮቴሌኮም እባካችሁ አጭር ሜሰድ አቁሙልን የሁላችን ጥያቄ  ሳንፈቅ አንድ አንድ ብር እየተቆረጠ በዚ የሚያማርር ደምበኛ ቤቱ ይቁጠረው,Negative,Price
መተግበሪያችው በፍፁም አይከፍትም በጣም ብዙ ጊዜ ሞከርኩት ,Negative,Service
እረ ተው እናንተ የቴሌ ሰራተኛ ቢያንስ ለምትጠየቁት ጥያቄ በቂ የሆነ ማብራሪያ ስጡን እኔ እንኳን ስንት ጊዜ  ወደ  የደወልኩት ነገር ግን ሲነሳም የተለያየ ሀሳብ   ,Negative,Service
የ አገልግሎት ደበኛ ሆነን ሳል አልሠራም ሲለን አስተካክሉ ስንላቸዉ ገንዘብ አምጣ አሉ,Negative,Service
ይሔ ሥልክ ጥቅል አልገዛ አለኝ በተለይ በጤና ይቆዩ የሚለውን አልገዛልኝ ብሏል,Negative,Service
ሀላባና አከባቢውስ መች  የ ጂ ኔትወርክ አይደለም ያለው ጂ ኔትወርኩም እንኳን በትክክል አይሰራም ችግሩስ መች  ምፈተዉ?,Negative,Service
አውርጀው ነበረ አይሠራም,Negative,Accessability 
በዳታ  የሚሰራው አፑ አውርጄዋለሁ ያስጠላል,Negative,Service
አፑን አውርጀው ግን አይሠራም,Negative,Service
በራሳችን ሳንቲም እንጂ በእናንተ ዳታዉ እየሰራ አይደለም,Negative,Service
ኧረ አይሰራም ምንድ,Negative,Service
ኧረ እስካሁን የኢንተርኔት ስጦታው አልሰራልኝም,Negative,Service
ይህው የተሠጠኝ ሥጦታ አልሠራ ብሉ በራሤ ገንዘብ በመጠቀም ላይ እገኛለሁ ,Negative,Service
በየግዜው የሚበላሸውና የሚቆራረጠውን ችግርም ለመፍታት ሞክሩ የኔ  በየግዜው ይበላሻል ችግሩ ምን እንደሆነ አልገባኝም አሁንም እየሰራ አደለም  የብዙ ደንበኞቻችሁ ችግርም እንደሆነ   መፍትሄ ስጡን ,Negative,Price
ኧረ የ መቆራረጥ ና ዘገምተኛነቱ ቢስተካከል,Negative,Quality
 አገልግሎት ለመጠቀም በምሞክርበት ጊዜ ተደጋጋሚ እና አሰልቺ የሆነ ሙከራ ተደርጎ የሚሰራ መሆኑ በተለይ በዚህ ሰሞን ጭራሽ እየባሰበት ሄዶ ዛሬ ሙሉ ለሙሉ ተቋርጧል ,Negative,Quality
ላደረጋችሁት ጥረት እናመሰግናለን ነገር ግን ማስፋፊያውን እየሰራችሁ መሆኑን መስማት የሚያስገርም  የጥገና ቢሮአችሁ በአንድ ወር ውስጥ ለቅሬታዎች ምላሽ አይሰጥም የእርስዎ ቢሮ ቅሬታ ያሰማል አሁን ጥራት እና የተሻለ ደንበኞች አገልግሎት ላይ ማተኮር ያስፈልግዎታል,Negative,Price
ለምጠይቀዉ ጥያቄ እስካሁን ምላሽ አላገኘዉም ,Negative,Service
 አገልግሎት ለመጠቀም በምሞክርበት ጊዜ ተደጋጋሚ እና አሰልቺ የሆነ ሙከራ ተደርጎ የሚሰራ መሆኑ በተለይ በዚህ ሰሞን ጭራሽ እየባሰበት ሄዶ ዛሬ ሙሉ ለሙሉ ተቋርጧል ,Negative,Service
ለምንድ,Negative,Price
ኢትዮ ቴሌኮም ከፍተኛ የመረጃ አጠቃቀም ላላቸው አካባቢዎች አዳዲስ አገልግሎቶችን በማካሄድ ላይ ቢሆንም ኩባንያው ለመላው  የስልክ መስመሮች አሁን ከ  ሳምንት በላይ የሚቆረጡበትን ምክንያት ሳይነግረን ቀርቷል በዚህም ምክንያት ለማንኛውም ቤተሰብ ና ጓደኞች መድረስ አንችልም,Negative,Quality
ስልኬ ሰርቪስ እደማይሰጥ ተናግሬ ይስተካከላል ተብዬ  ነግሬአቹ የተፈጠረ ነገር ግን የለም,Negative,Accessability 
አሁን ያለው ሁኔታ ደሞ  ራሱ አይሰራም,Negative,Service
በቴሌብር ጥቅል ስገዛ ብሩን ወስዶ ጥቅሉ አልተለቀቀልኝም,Negative,Quality
የኢትዮቴል አፕሊኬሽኔ ለ ቀናት አይሰራም,Negative,Price
ውድ ኢትዮ ቴሌኮም ያልተጀመረበትን አካባቢ እየሰራ አይደለም,Negative,Service
እናመሰግናለን ኢትዮ ተሌኮም የኔ ቅረታ ከሌሎች የአፍርካ ሃገራት ኢትዮጵያ በኢንተርኔት ታርፍ ከፍተኛ ናት ግን ገና ብዙ መሰረተ ልማትና የኢንተርኔትተጠቃሚ ባልበዛባት ደሃ ሃገር ለምን ታርፍ አበዛችሁ?? እባካችሁ ከኬንያና ለሎች አፍሪካ ሃገራት ተማሩ የኢንተርኔት ቆጠራውን አልቻልንም እባካችሁ ታርፍ አስተካክሉ,Negative,Accessability 
የአመቱን በጀት በስድስት ወር እየሰበሰባችሁ ዛሬ ቅናሽ ስትሉ ትንሽ አታፍሩም ደግሞ እንዲህ ተናገረ ብላችሁ ስልኬን ዝጉት መቼም የእኛ ሀገር ህግ  አይከበር  እኮ   የሚሉን ,Negative,Price
በጤና ይቆዩ ጥቅል አግልግሎቱን ወደ ቦታ መልሱልን ትንሸ ይሻለናል እናመሰግናል ነገሮችን ከእኛ ኢኮኖሚ ጋራ እንድመጣጥን ብታደረጉልን,Negative,Price
ይህን የኢትዮ ቴሌኮም ኩባንያ መጋበዝ አልፈልግም ምክንያቱም በጣም ውድ  እና አብዛኛውን ጊዜ ይጨናነቃል,Negative,Price
ፓኬጅ ለመግዛት ብቻ ግዜ ይሆናል የሞከርኩት ኸረ አስተካክሉት,Negative,Price
የስዳማ ክልል ውስጥ ቡርሳና አርበጎና ወሬዳ ውስጥ ነትወርክ የለምበተለይ ቡርሳ ወረዳ ውስጥ ቱትቻ የምትባል ከተማ ውስጥ ያለ አንተና ሳይሰራ ቆይቶሀልችግራችን ቶሎ,Negative,Service
 ኧረ ተው በጣም ደካማ የሆነ ማርኬት ስትራተጂ  እየተጠቀማቹ ያላችሁትእናንተ በ ቴሌብር ግብይት ከመፈጸማችሁ ውጪ ሌላው ህበረተሰብ በቴሌብር እምብዛም አይገበያይም አይጠቀምም ሲስተሙ አዲስ ስለሆነ ብዙ ሰው ስላላወቀው የሚል መልስ በጭራሽ ውሃ አያነሳምምክንያቱም እኔ እራሴ ለመጠቀም በጣም ሞከርኩኝ ሲስተሙም ደግሞ አዛ በርግጥ እንደመጀመርያ አዛ  ስል አጋንዬው ሊሆን ይችላል ግን በጣም መሰራት እንዳለበት ,Negative,Accessability 
ኧረ ስጦታ ብላችሁ ጋጣችሁኝ  መስሪያ ቤቱ ግቢ ብቻ  እሚሰራው,Negative,Service
ቴክኒሽያንዎ በተለይ ለቤት ዎይፋይ ጥገና ጥገና ምላሽ ለመስጠት በጣም አዝጋሚ ናቸው,Negative,Price
 መቀለድ አቁሙ  ኢትዮ ቴሌኮም ለሞባይል ዳታ መቀነስ አለበት,Negative,Service
ኢትዮ ቴሌኮም በዓለም ላይ ካለው ከማንኛውም የቴሌኮም ኩባንያ እጅግ ውድ የሆነ የኢንተርኔት አገልግሎት ይሰጣል ከዚህ የበለጠ ገቢ እንደምታገኙ ጠብቄ ነበር,Negative,Price
 አደረኩ እና ምንም አልተለወጠም ሁላችንም አአ ውስጥ   መሆኑን እናውቃለን,Negative,Price
ብር  ያጣን እንጅ መች እምናስቀምጥበት አጣን ሌላ ዘደ ካላችሁ ሞክሩ,Negative,Service
 ብትሰጡን ያው በሌላ ቀን በደንብ ትወሰዳላችሁ  ታሪፉን አስተካክሉት በኮሮና ሰዓት የነበረው አይነት አድርጉት በቤቶ ይቆዩ የሚለው አሁን እኮ ዘረፋ  እረ ቀንሱት አብዛኛው ወጣት ስራ አጥ  ስራ በሌለበት ሀገር እንዲህ በስወደዱ ተገቢ አይደለም  ለስም እንጂ በጣም ቶሎ  የሚያልቀው  ይስተካከል,Negative,Price
ለምን  ስጦታችሁንን ሌሊት ያደረጋችሁት እኛኮ ኢትዮጵያዊ ነን ማታ የእንቅልፍ ሰዓታችን ,Negative,Price
እንኳን ደስስ አላችሁ ማለት አልፈልግም ባታተርፉ ነበር የሚደንቀን,Negative,Service
አሁን ያለው ሁኔታ ደሞ  ራሱ አይሰራም ,Negative,Service
ቆይ ከሌሊቱ   ምን እንዲሰራልን  ይሄማ ስጦታ አይደለም,Negative,Quality
ስጦታ በምትሰጡበት ጊዜ  ይህ ስጦታህ ላይ ደስተኛ እንዳልሆን አድርጎኛል አመሰግናለሁ,Negative,Service
ጥሩ ነበር ግን ለምን ምሽት እንዳንጠቀምባችሁ  እረ ዘይገረም  ብልጦች ከምር እንዴት ቢያንስ ሶስት ቀን ለመልቀቅ,Negative,Quality
ጥቅም የለሽ   እኛ እንቅልፍ እንፈልጋለንና,Negative,Service
አይ ኢትዮጵያየ ገና ሀሎ ብየ ሳልጨርስ ያለዎት ቀሪ ሂሳብ አያገናኝዎትም እባክዎ እንደገና ሞልተው ይሞክሩ ድሀውን መበዝበዝ ፈጣሪም አይወደው,Negative,Service
ችጋራሞች ከሰጣችሁ አይቀር ሰው በሚጠቀምበት ሠአት አትሰጡንም ምን ለማለት ፈልጋችሁ  ከሌሊቱ  ሰዓት  ሰዓት ,Negative,Price
ምን ዋጋ አለው የኢንተርኔት ፍጥነቱ ስለምትቀንሱት ሳንጠቀምበት ያልፋል,Negative,Service
 አመቱን ሙሉ የዘርፋቹትን  ትርፍ ያላችሁት ይሄ አያስደንቅም ይልቁን ብትቀንሱልን  ሚሻለው ይሄ  ,Negative,Quality
 ብለው በወር አንድ ሳምንት አስጠቅመው ሆን ብለው የሚያበላሹ በጣም ገራሚ ጅቦች,Negative,Price
ንፉግ የሆነ ድርጅት,Negative,Service
ከተሞች ጂ  መስራት ጀምሯል ኢየተባሌ ይሠማል አንድ አንድ ከተሞች ጂ እራሱ ኢየሠራ አይዴለም እነዛ ከተሞች ለምሣሌሲዳማ ክልል ዉስጥ በንሳ ዳዬ ሲሆን በአሁ ጊዜ እንኳን ጂ ኢየሠራ አይዴለም,Negative,Service
እኔ ምለው ሰውን ለምን ትዋሻላቹ ለ ሰዎች ጋብዤ  ፍሌክስ አልተሰጠኝም ለምን ግን,Negative,Accessability 
ያስጠላል,Negative,Price
ክቡርነቶ በዚህ አያያዞ በቴሌ ብር መተግበሪይ ችግኝ ምንተክልበትን መንገድ ያበጁልናል   ,Negative,Service
እኔ ከአስር ሰው በላይ ጋብዣለሁ ግን ምንም የለም እማታደርጉትን ነገር አትዋሹ,Negative,Service
አረ ቡዙ ጋብዠለው ግን ከነታ በኩል የጋበዥነት ቁጥር እንጅ ምንም ጥቅል አልደረስኝም,Negative,Service
ቲሽሲጀመር ቴሌ ብር መች ይሠራልናዝም ብላችሁ አትቀደዱ,Negative,Service
በጣም ብዙ ሰው ጋበዝኩኝ ግን ስጦታው የለም,Negative,Service
  ምንም አይነት ሰርቪስ አይሰጥም ካንድም ሁለቴ ሞክሬዋለው እባካችሁ ይስተካከል,Negative,Service
"
የሞባይል ኢንተርኔት በጣም ውድ  እባክዎ ያስቡበት",Negative,Service
ኢኮኖሚው እያሻቀበ  ኢትዮ ቴሌኮም ግን በየቀኑ ወደኋላ እያደገ  የኢንተርኔት ጥራት ማየት የነበረበት,Negative,Service
የማይረባ መስሪያ ቤት ዋይፋይ ከተቋረጠብኝ ሁለት ሳምንት ሞልቷል ግን እስካሁን ምንም የተደረገልኝ ነገር የለም ወሩ ሲመጣ ግን ታስከፍሉኛላችሁ በነፃ,Negative,Price
አስመሳይ ተቋም  ይሄ ተቋም ገጠሮቹ ኢትዮጵያን አደሉም ወይ ከተሞች ወደ ተቀይረዋል አብዛኛው ገጠር ግን  ን በሚገዛ አያገኙም ዳገት ለዳገት እየሄዱ ይደዋወላሉ አታስመስሉ ለሁሉም አዳርሱ,Negative,Quality
አር በጣም ጥሩ ሃሳብ  እስካሁን የት ነበራችሁ እስካሁን ዘመንን ብላቺሁ ያዘመናቺሁትን ሀሳብ ከ ሀገር ልጂ ላለመቀበል  ወይስ ሌላ ግዳጂ ነበርባቺሁ ሁሉንም የማዘመን ሀሳባቺሁን ለመተግበር ዘገያችሁ  በጣም,Negative,Service
ኧረ በፈጠራችሁ ይሄን የማይረባ ቴክስታችሁን ተውን ስልካችን እኮ የናንተ ማስታወቂያ መስሪያ አደረጋችሁት አሰለቻችሁን,Negative,Accessability 
ጓደኛ በመጋበዝ ተጨማሪ ሽልማት አለው የሚለውን አይቼ በርካታ ተጠቃሚዎችን እየጋበዝኩ የቴሌብር ተጠቃሚ አድርጌ ነበር ግን ምንም የተሰጠኝ ነገር የለም,Negative,Service
እረ ጉዳችሁን ስሙ ሃረር ላይ  ይሰራል  አድርጉልን ስንል መመሪያ አልተሰጠንም ብለው ከለከሉን አይገርምም,Negative,Service
ዳታ መግዛት አልቻልንም እባካችሁ ተቸግረናል መላ በሉን,Negative,Service
አይሰራም የእኔ   ,Negative,Service
ለበዓላት በቅናሽ ለደንበኞች የሚቀርበው ፓኬጅ በተለይ የዳታ ፓኬጅ ከወትሮው የተለየና ደካማ  መደበኛውን በውድ ቢገዛ ትንሽ ይሻላል,Negative,Service
አንድ ኩባንያ በመላ ሀገሪቱ በብሮድባንድ ኢንተርኔት እና ጥራት ያለው የድረሱልን አገልግሎት ለማስፋት ለምን ረጅም ጊዜ ይወስድበታል ስለ ኢንተርኔት አጠገባቸው እንወጣለን አንዳንዶቼ ወደ ተራራው ለመድረስ እና ጥሪ ለማድረግ ከኪሜ እስከ  ኪሜ በእግረ መንገድ መጓዝ አለብን እኔ ማለቴ በኛው ክፍለ ዘመን ህዝብ  ለምናደርገው ነገር እራሳችንን እንስጥና የህዝባችንን ህይወት እንቀይር ኢትዮጵያ የሚ ህዝብ ብዛት ያላት ሀገር ብትሆንም እናንተ የምታገለግሉት ግን ዋና ከተማ ብቻ  በእነዚህ ድርጅቶች ውስጥ ያሉ ሰዎች ተስፋ አጥተውኛል ,Negative,Service
ይህ ስጦታ አይደለም  ከትቻለ ለምስራቅ አካባቢ  ማቅረብ አለበት አለበለዚያ እንዲህ አይነት የቂልነት ማጭበርበር መልዕክት አታስቀምጥ ,Negative,Service
ጭራሽ የኢንተርኔት ዋጋውን እየጨመራችሁ መጣችሁኧረ በህግ አምላክ አስተካክሉ?ስለ ህግ,Negative,Price
በብሮድባንድ ኢንተርኔት ተመዝግበው ሩተርን ከገዛሁ አንድ ዓመት ገደማ ሆኖኛል አሁንም መጥቶ የሚገጥም ቴክኒሽያን የለም ኢትዮ ቴሌኮም እንዴት እንደሚሰራ አላውቅም,Negative,Accessability 
