Comment,Sentiment,Aspect
ለሶሻል ሚዲያ ተጠቃሚው ቁጥር መጨመር የእናተ አሰተዋፅኦ ነወ። በተለይ የጥቅል አገልግሎቱን ዋጋ ብትቀንሱ በጣም ይጨምራል።,Positive ,Price
ጥሩ ነው በርቱ አሁንም ግን ከሌሎች ሀገር ጋር ሲነፃፀር ዋጋው ወደድ ይላል ስለዚህ ዋጋውን ቀነስ ኔትወርኩን ጨመር አድርጉት,Positive ,Price
በጣም የሚደነቅ. Tnx our beloved ethio-telecom specially fryeeeeeee u r more than anything. Wish u long live with full of health & joy. Tnx alot. But think on the network speed too!,Positive ,Service
ኢቴዎች እባካችሁ አሁን የምጠቀምበት ሲም በ2003 ዓ/ም ነው የገዛሁት ,Neutral,Service
እባክዎን ስርዓትዎን በድጋሚ *999# ላይ ማስጀመር አሁን አይሰራም እባክዎ ይመልከቱ👈,Neutral,Service
ሊንኩን አይከፍትም ምንድነው የስራ ማስታወቂያዎቹን በፅሁፍ ብትዘረዝራቸው እናመሰግናለን,Neutral,Service
በስሜ ለሰው የወጣና ቁጥሩ የማላስታውሰውን ሲም ካርድ ማን እየተጠቀመበት እንደሆነ አልያም በድጋሜ ለግሌ ለመጠቀም ምን ማድረግ አለብኝ,Neutral,Service
በጣም ይገርማል ኢትዮ ቴሌኮሞች ቀለዱብን እኮ በገንዘባችን ለምንጠቀመው,Negative,Price
ዳታ ፓኬጅ ስንሞላ እየተቸገርን ነው እባካችሁ ይስተካከል,Negative,Quality
ቆይ ግን ለምን ጎንደር ላይ 4G(LTE) ኔትወርክ አገልግሎት አንጠቀምም ?,Negative,Accessability 
Ethio Ethio telecom በልታወቀ መልኩ መጅራት እየመታችሁንነው ጥያቂ የለለውምት ነው ሠሜም አካል የለም,Negative,Price
ምን ያህል ዃላ ቀር እንደነበርን ማሳያ ነዉ እንጅ እንደትልቅ ስኬት የምነገር አይደለም,Negative,Service
ብር ጭጭ እልም ከማረግ ውጪ ጥቅም የለም,Negative,Price
"።።።።።።።። ለማን አቤት ይባላል??።።።።።።።።።። አሁን አሁን እንደዜጋ መብትን በአግባቡ ስትጠይቅ፣ የልማት ጥያቄ ስትጠይቅ፣ የመሰረታዊ ፍላጎት(Basic Needs) ስትጠይቅ""ፀረ ልማት፣ ፀረ - ሠላም፣ ፀረ-መንግስት፣ አፍራሽ፣ጨለምተኛ አሊያ ደግሞ ሌላ ስም ይሰጥህና ከችግሩ ቀማሽ ጀምሮ በጅምላ ይፈረድብሃል።አሊያ ደግሞ ትወገዛለህ።",Negative,Service
የእናንተን ስልክ ቀፎ ከመግዛት እንኳን ስልክ አለመያዝ ይሻላል። ይልቅ ኔትወርኩ ላይ አተኩሩ። የቀፎው ንግድ ይቅርባችሁ። ትዝብት ላይ ጥሏችኋል።,Negative,Quality
